iter	Passed	Remaining
0	2	2515
1	4	2230
2	6	2019
3	7	1884
4	9	1810
5	10	1759
6	12	1733
7	13	1703
8	15	1685
9	16	1669
10	18	1683
11	20	1667
12	21	1650
13	23	1640
14	24	1641
15	26	1639
16	28	1629
17	29	1624
18	31	1633
19	33	1624
20	34	1617
21	36	1614
22	38	1619
23	39	1611
24	41	1603
25	42	1605
26	44	1610
27	46	1609
28	47	1602
29	49	1601
30	51	1602
31	52	1594
32	54	1588
33	55	1587
34	57	1590
35	59	1586
36	60	1580
37	62	1581
38	64	1582
39	65	1577
40	67	1573
41	68	1570
42	70	1567
43	71	1563
44	73	1560
45	75	1561
46	76	1557
47	78	1552
48	79	1548
49	81	1550
50	83	1548
51	84	1544
52	86	1544
53	88	1545
54	89	1543
55	91	1539
56	92	1537
57	94	1536
58	96	1534
59	97	1532
60	99	1530
61	101	1533
62	102	1530
63	104	1526
64	105	1524
65	107	1525
66	109	1522
67	110	1519
68	112	1518
69	114	1518
70	115	1516
71	117	1513
72	118	1510
73	120	1508
74	122	1506
75	123	1503
76	125	1501
77	126	1500
78	128	1498
79	130	1496
80	131	1495
81	133	1493
82	134	1490
83	136	1488
84	138	1486
85	139	1484
86	141	1482
87	142	1480
88	144	1480
89	146	1478
90	147	1475
91	149	1472
92	150	1469
93	152	1467
94	153	1466
95	155	1463
96	156	1461
97	158	1460
98	160	1458
99	161	1455
100	163	1453
101	164	1452
102	166	1451
103	168	1448
104	169	1445
105	171	1444
106	172	1442
107	174	1441
108	176	1439
109	177	1437
110	179	1435
111	180	1433
112	182	1431
113	184	1430
114	185	1427
115	187	1425
116	188	1423
117	190	1421
118	191	1419
119	193	1417
120	194	1415
121	196	1415
122	198	1412
123	199	1410
124	201	1408
125	202	1407
126	204	1404
127	205	1402
128	207	1400
129	209	1399
130	210	1397
131	212	1395
132	213	1393
133	215	1393
134	217	1391
135	218	1389
136	220	1388
137	221	1386
138	223	1385
139	225	1383
140	226	1381
141	228	1380
142	229	1378
143	231	1376
144	233	1374
145	234	1373
146	236	1371
147	237	1369
148	239	1367
149	241	1366
150	242	1364
151	244	1363
152	245	1361
153	247	1361
154	249	1359
155	250	1356
156	252	1354
157	254	1353
158	255	1351
159	257	1349
160	258	1347
161	260	1346
162	261	1344
163	263	1342
164	264	1339
165	266	1340
166	268	1338
167	269	1336
168	271	1334
169	273	1334
170	275	1333
171	276	1331
172	278	1329
173	279	1327
174	281	1325
175	282	1323
176	284	1321
177	285	1320
178	287	1318
179	288	1316
180	290	1314
181	292	1314
182	293	1312
183	295	1310
184	297	1308
185	298	1307
186	300	1306
187	302	1305
188	303	1304
189	305	1303
190	307	1301
191	308	1299
192	310	1297
193	311	1296
194	313	1294
195	315	1292
196	316	1291
197	318	1290
198	320	1288
199	321	1286
200	323	1285
201	324	1283
202	326	1282
203	328	1280
204	329	1279
205	331	1278
206	333	1276
207	334	1274
208	336	1272
209	337	1271
210	339	1269
211	340	1267
212	342	1265
213	344	1264
214	345	1263
215	347	1261
216	349	1260
217	350	1258
218	352	1256
219	354	1255
220	355	1253
221	357	1251
222	358	1250
223	360	1248
224	362	1247
225	363	1245
226	365	1243
227	366	1241
228	368	1240
229	369	1238
230	371	1236
231	373	1235
232	374	1234
233	376	1232
234	378	1230
235	379	1229
236	388	1251
237	390	1249
238	391	1247
239	393	1246
240	395	1244
241	396	1242
242	398	1240
243	399	1239
244	401	1237
245	403	1235
246	404	1233
247	406	1232
248	408	1230
249	409	1229
250	411	1227
251	413	1226
252	414	1224
253	416	1222
254	418	1221
255	420	1220
256	421	1219
257	423	1217
258	425	1216
259	426	1214
260	428	1212
261	429	1211
262	431	1209
263	433	1208
264	434	1206
265	436	1204
266	438	1202
267	439	1201
268	441	1199
269	442	1197
270	444	1196
271	446	1194
272	447	1192
273	449	1190
274	450	1188
275	452	1187
276	454	1185
277	455	1183
278	457	1182
279	459	1180
280	460	1178
281	461	1176
282	463	1174
283	465	1172
284	466	1170
285	468	1168
286	469	1167
287	471	1165
288	472	1163
289	474	1161
290	476	1159
291	477	1158
292	479	1156
293	480	1154
294	482	1152
295	484	1151
296	485	1149
297	487	1147
298	488	1145
