Candle,Accuracy,F1-score,Test
1,0.6253720238095238,0.65,v1
2,0.6356646825396826,0.65,v1
3,0.6341765873015873,0.64,v1
4,0.6291335978835979,0.63,v1
5,0.632568712543914,0.62,v1
6,0.6312003968253969,0.62,v1
7,0.6281828703703703,0.61,v1
8,0.6183862433862434,0.6,v1
9,0.6049107142857143,0.59,v1
10,0.6152892561983471,0.58,v1
11,0.6177272727272727,0.59,v1
12,0.628968253968254,0.59,v1
13,0.6367544331004836,0.6,v1
14,0.6128472222222222,0.58,v1
15,0.6540607563546187,0.61,v1
16,0.6349206349206349,0.61,v1
17,0.623330990864371,0.59,v1
18,0.6212797619047619,0.58,v1
19,0.6216640502354788,0.6,v1
20,0.6214876033057851,0.59,v1
21,0.6145833333333334,0.58,v1
22,0.6081818181818182,0.59,v1
23,0.6416349809885932,0.61,v1
24,0.6021825396825397,0.58,v1
25,0.6425619834710744,0.61,v1
26,0.6423200859291085,0.61,v1
27,0.5792410714285714,0.54,v1
28,0.5972222222222222,0.57,v1
29,0.6335329341317365,0.6,v1
30,0.6232961586121437,0.58,v1
31,0.6005121638924455,0.56,v1
32,0.5568783068783069,0.54,v1
33,0.6412005457025921,0.61,v1
34,0.6348314606741573,0.61,v1
35,0.6271676300578035,0.59,v1
36,0.6116071428571429,0.59,v1
37,0.5886850152905199,0.57,v1
38,0.6185243328100472,0.56,v1
39,0.605475040257649,0.57,v1
40,0.5917355371900826,0.56,v1
41,0.6016949152542372,0.59,v1
42,0.6111111111111112,0.62,v1
43,0.6092362344582594,0.59,v1
44,0.6545454545454545,0.6,v1
45,0.6078066914498141,0.55,v1
46,0.6045627376425855,0.58,v1
47,0.5902912621359223,0.57,v1
48,0.6190476190476191,0.6,v1
49,0.631578947368421,0.62,v1
50,0.6033057851239669,0.62,v1
51,0.6189473684210526,0.63,v1
52,0.6266094420600858,0.56,v1
53,0.6345733041575492,0.64,v1
54,0.6026785714285714,0.58,v1
55,0.6022727272727273,0.59,v1
56,0.5949074074074074,0.56,v1
57,0.6047058823529412,0.61,v1
58,0.6354916067146283,0.61,v1
59,0.6341463414634146,0.61,v1
60,0.650990099009901,0.62,v1
1,0.6253720238095238,0.65,v1
2,0.6356646825396826,0.65,v1
3,0.6341765873015873,0.64,v1
4,0.6291335978835979,0.63,v1
5,0.632568712543914,0.62,v1
6,0.6312003968253969,0.62,v1
7,0.6281828703703703,0.61,v1
8,0.6183862433862434,0.6,v1
9,0.6049107142857143,0.59,v1
10,0.6152892561983471,0.58,v1
11,0.6177272727272727,0.59,v1
12,0.628968253968254,0.59,v1
13,0.6367544331004836,0.6,v1
14,0.6128472222222222,0.58,v1
15,0.6540607563546187,0.61,v1
16,0.6349206349206349,0.61,v1
17,0.623330990864371,0.59,v1
18,0.6212797619047619,0.58,v1
19,0.6216640502354788,0.6,v1
20,0.6214876033057851,0.59,v1
21,0.6145833333333334,0.58,v1
22,0.6081818181818182,0.59,v1
23,0.6416349809885932,0.61,v1
24,0.6021825396825397,0.58,v1
25,0.6425619834710744,0.61,v1
26,0.6423200859291085,0.61,v1
27,0.5792410714285714,0.54,v1
28,0.5972222222222222,0.57,v1
29,0.6335329341317365,0.6,v1
30,0.6232961586121437,0.58,v1
31,0.6005121638924455,0.56,v1
32,0.5568783068783069,0.54,v1
33,0.6412005457025921,0.61,v1
34,0.6348314606741573,0.61,v1
35,0.6271676300578035,0.59,v1
36,0.6116071428571429,0.59,v1
37,0.5886850152905199,0.57,v1
38,0.6185243328100472,0.56,v1
39,0.605475040257649,0.57,v1
40,0.5917355371900826,0.56,v1
41,0.6016949152542372,0.59,v1
42,0.6111111111111112,0.62,v1
43,0.6092362344582594,0.59,v1
44,0.6545454545454545,0.6,v1
45,0.6078066914498141,0.55,v1
46,0.6045627376425855,0.58,v1
47,0.5902912621359223,0.57,v1
48,0.6190476190476191,0.6,v1
49,0.631578947368421,0.62,v1
50,0.6033057851239669,0.62,v1
51,0.6189473684210526,0.63,v1
52,0.6266094420600858,0.56,v1
53,0.6345733041575492,0.64,v1
54,0.6026785714285714,0.58,v1
55,0.6022727272727273,0.59,v1
56,0.5949074074074074,0.56,v1
57,0.6047058823529412,0.61,v1
58,0.6354916067146283,0.61,v1
59,0.6341463414634146,0.61,v1
60,0.650990099009901,0.62,v1
