model,duration,best_features,accuracy
RFA_LogisticRegression,3,"['BBP_5_2.0', 'time', 'BBB_5_2.0', 'MACDh_12_26_9', 'STOCHd_14_3_3', 'low', 'close', 'open', 'MACDs_12_26_9', 'R1', 'avg_vol_last_100', 'R2', 'high', 'MACD_12_26_9', 'volume', 'turnover', 'PP', 'S2', 'R3', 'S3', 'RSI', 'S1', 'BBL_5_2.0', 'BBM_5_2.0', 'SMA_20', 'ROC', 'BBU_5_2.0', 'SMA_5', 'CCI', 'EMA_20', 'EMA_5', 'SMA_10', 'EMA_10', 'STOCHk_14_3_3', 'ATR']",0.506466106331677
RFE_LogisticRegression,3,"['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.5322560961390351
SelectKBest_LogisticRegression,3,"['open', 'low', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBM_5_2.0', 'SMA_5', 'SMA_10', 'EMA_10']",0.5833152335156808
LogisticRegression_LogisticRegression,3,"['time', 'PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20']",0.506466106331677
RFA_LogisticRegression,6,"['BBP_5_2.0', 'time', 'MACDh_12_26_9', 'low', 'volume', 'close', 'high', 'avg_vol_last_100', 'turnover', 'MACD_12_26_9', 'MACDs_12_26_9', 'R1', 'PP', 'R2', 'RSI', 'S3', 'BBB_5_2.0', 'S2', 'R3', 'BBL_5_2.0', 'STOCHd_14_3_3', 'BBM_5_2.0', 'open', 'S1', 'SMA_5', 'BBU_5_2.0', 'SMA_10', 'EMA_5', 'EMA_20', 'STOCHk_14_3_3', 'SMA_20', 'ROC', 'EMA_10', 'ATR', 'CCI']",0.5138868164384914
RFE_LogisticRegression,6,"['turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.5319723289302762
SelectKBest_LogisticRegression,6,"['time', 'open', 'low', 'volume', 'turnover', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBB_5_2.0']",0.5138868164384914
LogisticRegression_LogisticRegression,6,['time'],0.5138868164384914
RFA_LogisticRegression,9,"['BBP_5_2.0', 'time', 'volume', 'R2', 'open', 'avg_vol_last_100', 'close', 'MACDh_12_26_9', 'high', 'MACDs_12_26_9', 'turnover', 'MACD_12_26_9', 'low', 'PP', 'R1', 'S1', 'S2', 'S3', 'R3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'BBB_5_2.0', 'RSI', 'SMA_5', 'EMA_5', 'SMA_10', 'SMA_20', 'EMA_20', 'ATR', 'EMA_10', 'STOCHk_14_3_3', 'ROC', 'STOCHd_14_3_3', 'CCI']",0.5224136708146732
RFE_LogisticRegression,9,"['volume', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.5494892803530019
SelectKBest_LogisticRegression,9,"['open', 'low', 'volume', 'turnover', 'PP', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBB_5_2.0']",0.5631389002233799
LogisticRegression_LogisticRegression,9,['time'],0.5224136708146732
RFA_LogisticRegression,12,"['BBP_5_2.0', 'time', 'STOCHd_14_3_3', 'MACD_12_26_9', 'open', 'close', 'volume', 'turnover', 'high', 'low', 'MACDs_12_26_9', 'avg_vol_last_100', 'MACDh_12_26_9', 'PP', 'R1', 'S1', 'S2', 'R3', 'R2', 'S3', 'BBM_5_2.0', 'BBL_5_2.0', 'BBU_5_2.0', 'BBB_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'EMA_20', 'SMA_20', 'EMA_5', 'EMA_10', 'STOCHk_14_3_3', 'ATR', 'CCI', 'ROC']",0.5300089893984532
RFE_LogisticRegression,12,"['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.5572813384545665
SelectKBest_LogisticRegression,12,"['time', 'volume', 'turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.5300089893984532
LogisticRegression_LogisticRegression,12,['time'],0.5300089893984532
