model,duration,best_features,accuracy
RFA_RandomForest,3,"['time', 'turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'SMA_5', 'S2', 'avg_vol_last_100', 'MACDh_12_26_9', 'MACD_12_26_9', 'EMA_20', 'STOCHk_14_3_3', 'MACDs_12_26_9', 'S3', 'EMA_5', 'PP', 'volume', 'high', 'STOCHd_14_3_3', 'ROC', 'ATR', 'S1', 'EMA_10', 'BBM_5_2.0', 'open', 'close', 'R1', 'BBU_5_2.0', 'BBL_5_2.0', 'R2', 'CCI', 'R3', 'low', 'SMA_10', 'SMA_20']",0.6322908910399603
RFA_LogisticRegression,3,"['time', 'turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'SMA_5', 'S2', 'avg_vol_last_100', 'MACDh_12_26_9', 'MACD_12_26_9', 'EMA_20', 'STOCHk_14_3_3', 'MACDs_12_26_9', 'S3', 'EMA_5', 'PP', 'volume', 'high', 'STOCHd_14_3_3', 'ROC', 'ATR', 'S1', 'EMA_10', 'BBM_5_2.0', 'open', 'close', 'R1', 'BBU_5_2.0', 'BBL_5_2.0', 'R2', 'CCI', 'R3', 'low', 'SMA_10', 'SMA_20']",0.49826259617771157
RFA_KNeighbors,3,"['time', 'turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'SMA_5', 'S2', 'avg_vol_last_100', 'MACDh_12_26_9', 'MACD_12_26_9', 'EMA_20', 'STOCHk_14_3_3', 'MACDs_12_26_9', 'S3', 'EMA_5', 'PP', 'volume', 'high', 'STOCHd_14_3_3', 'ROC', 'ATR', 'S1', 'EMA_10', 'BBM_5_2.0', 'open', 'close', 'R1', 'BBU_5_2.0', 'BBL_5_2.0', 'R2', 'CCI', 'R3', 'low', 'SMA_10', 'SMA_20']",0.49379498634896996
RFA_DecisionTree,3,"['time', 'turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'SMA_5', 'S2', 'avg_vol_last_100', 'MACDh_12_26_9', 'MACD_12_26_9', 'EMA_20', 'STOCHk_14_3_3', 'MACDs_12_26_9', 'S3', 'EMA_5', 'PP', 'volume', 'high', 'STOCHd_14_3_3', 'ROC', 'ATR', 'S1', 'EMA_10', 'BBM_5_2.0', 'open', 'close', 'R1', 'BBU_5_2.0', 'BBL_5_2.0', 'R2', 'CCI', 'R3', 'low', 'SMA_10', 'SMA_20']",0.5749565649044428
RFA_GaussianNB,3,"['time', 'turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'SMA_5', 'S2', 'avg_vol_last_100', 'MACDh_12_26_9', 'MACD_12_26_9', 'EMA_20', 'STOCHk_14_3_3', 'MACDs_12_26_9', 'S3', 'EMA_5', 'PP', 'volume', 'high', 'STOCHd_14_3_3', 'ROC', 'ATR', 'S1', 'EMA_10', 'BBM_5_2.0', 'open', 'close', 'R1', 'BBU_5_2.0', 'BBL_5_2.0', 'R2', 'CCI', 'R3', 'low', 'SMA_10', 'SMA_20']",0.5143956316703897
RFE_RandomForest,3,"['time', 'turnover', 'avg_vol_last_100', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.6558699429138745
RFE_LogisticRegression,3,"['time', 'turnover', 'avg_vol_last_100', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.49826259617771157
RFE_KNeighbors,3,"['time', 'turnover', 'avg_vol_last_100', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.4942913874410524
RFE_DecisionTree,3,"['time', 'turnover', 'avg_vol_last_100', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.5866219905683793
RFE_GaussianNB,3,"['time', 'turnover', 'avg_vol_last_100', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.530156366344006
