model,duration,best_features,accuracy
RFA_RandomForest,3,"['time', 'turnover', 'MACD_12_26_9', 'BBP_5_2.0', 'RSI', 'MACDh_12_26_9', 'MACDs_12_26_9', 'R3', 'BBM_5_2.0', 'BBB_5_2.0', 'avg_vol_last_100', 'STOCHk_14_3_3', 'R2', 'SMA_10', 'S3', 'ROC', 'STOCHd_14_3_3', 'EMA_5', 'R1', 'BBU_5_2.0', 'S2', 'SMA_5', 'BBL_5_2.0', 'low', 'open', 'ATR', 'S1', 'volume', 'CCI', 'SMA_20', 'high', 'PP', 'close', 'EMA_10', 'EMA_20']",0.6339041945892281
RFA_LogisticRegression,3,"['time', 'turnover', 'MACD_12_26_9', 'BBP_5_2.0', 'RSI', 'MACDh_12_26_9', 'MACDs_12_26_9', 'R3', 'BBM_5_2.0', 'BBB_5_2.0', 'avg_vol_last_100', 'STOCHk_14_3_3', 'R2', 'SMA_10', 'S3', 'ROC', 'STOCHd_14_3_3', 'EMA_5', 'R1', 'BBU_5_2.0', 'S2', 'SMA_5', 'BBL_5_2.0', 'low', 'open', 'ATR', 'S1', 'volume', 'CCI', 'SMA_20', 'high', 'PP', 'close', 'EMA_10', 'EMA_20']",0.49826259617771157
RFA_Ridge,3,"['time', 'turnover', 'MACD_12_26_9', 'BBP_5_2.0', 'RSI', 'MACDh_12_26_9', 'MACDs_12_26_9', 'R3', 'BBM_5_2.0', 'BBB_5_2.0', 'avg_vol_last_100', 'STOCHk_14_3_3', 'R2', 'SMA_10', 'S3', 'ROC', 'STOCHd_14_3_3', 'EMA_5', 'R1', 'BBU_5_2.0', 'S2', 'SMA_5', 'BBL_5_2.0', 'low', 'open', 'ATR', 'S1', 'volume', 'CCI', 'SMA_20', 'high', 'PP', 'close', 'EMA_10', 'EMA_20']",0.47952345495160087
RFE_RandomForest,3,"['time', 'turnover', 'avg_vol_last_100', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.6561181434599156
RFE_LogisticRegression,3,"['time', 'turnover', 'avg_vol_last_100', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.49826259617771157
RFE_Ridge,3,"['time', 'turnover', 'avg_vol_last_100', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.5295358649789029
SelectKBest_RandomForest,3,"['low', 'volume', 'turnover', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBM_5_2.0', 'SMA_5', 'SMA_10']",0.5233308513278729
SelectKBest_LogisticRegression,3,"['low', 'volume', 'turnover', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBM_5_2.0', 'SMA_5', 'SMA_10']",0.5894762968478531
SelectKBest_Ridge,3,"['low', 'volume', 'turnover', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBM_5_2.0', 'SMA_5', 'SMA_10']",0.5833953834698437
LogisticRegression_RandomForest,3,"['PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20']",0.5218416480516257
LogisticRegression_LogisticRegression,3,"['PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20']",0.5907172995780591
LogisticRegression_Ridge,3,"['PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20']",0.5847604864730702
Ridge_RandomForest,3,"['open', 'close', 'high', 'low']",0.5600645321419707
Ridge_LogisticRegression,3,"['open', 'close', 'high', 'low']",0.5251923554231819
Ridge_Ridge,3,"['open', 'close', 'high', 'low']",0.5316455696202531
LassoCV_RandomForest,3,['time'],0.48957557706626953
LassoCV_LogisticRegression,3,['time'],0.49826259617771157
LassoCV_Ridge,3,['time'],0.4821295606850335
ElasticNetCV_RandomForest,3,['time'],0.48957557706626953
ElasticNetCV_LogisticRegression,3,['time'],0.49826259617771157
ElasticNetCV_Ridge,3,['time'],0.4821295606850335
RFA_RandomForest,6,"['MACD_12_26_9', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'R3', 'volume', 'RSI', 'turnover', 'low', 'BBU_5_2.0', 'avg_vol_last_100', 'open', 'BBM_5_2.0', 'SMA_20', 'ATR', 'STOCHk_14_3_3', 'MACDs_12_26_9', 'PP', 'R1', 'time', 'STOCHd_14_3_3', 'R2', 'ROC', 'EMA_20', 'S1', 'EMA_10', 'S2', 'close', 'EMA_5', 'SMA_5', 'high', 'SMA_10', 'CCI', 'S3', 'BBL_5_2.0']",0.6045702930948833
RFA_LogisticRegression,6,"['MACD_12_26_9', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'R3', 'volume', 'RSI', 'turnover', 'low', 'BBU_5_2.0', 'avg_vol_last_100', 'open', 'BBM_5_2.0', 'SMA_20', 'ATR', 'STOCHk_14_3_3', 'MACDs_12_26_9', 'PP', 'R1', 'time', 'STOCHd_14_3_3', 'R2', 'ROC', 'EMA_20', 'S1', 'EMA_10', 'S2', 'close', 'EMA_5', 'SMA_5', 'high', 'SMA_10', 'CCI', 'S3', 'BBL_5_2.0']",0.5109289617486339
RFA_Ridge,6,"['MACD_12_26_9', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'R3', 'volume', 'RSI', 'turnover', 'low', 'BBU_5_2.0', 'avg_vol_last_100', 'open', 'BBM_5_2.0', 'SMA_20', 'ATR', 'STOCHk_14_3_3', 'MACDs_12_26_9', 'PP', 'R1', 'time', 'STOCHd_14_3_3', 'R2', 'ROC', 'EMA_20', 'S1', 'EMA_10', 'S2', 'close', 'EMA_5', 'SMA_5', 'high', 'SMA_10', 'CCI', 'S3', 'BBL_5_2.0']",0.5119225037257824
RFE_RandomForest,6,"['turnover', 'avg_vol_last_100', 'S3', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'ROC', 'CCI']",0.6415797317436661
RFE_LogisticRegression,6,"['turnover', 'avg_vol_last_100', 'S3', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'ROC', 'CCI']",0.520367610531545
RFE_Ridge,6,"['turnover', 'avg_vol_last_100', 'S3', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ATR', 'ROC', 'CCI']",0.5285643318430203
SelectKBest_RandomForest,6,"['open', 'low', 'volume', 'turnover', 'PP', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBB_5_2.0']",0.5198708395429706
SelectKBest_LogisticRegression,6,"['open', 'low', 'volume', 'turnover', 'PP', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBB_5_2.0']",0.5715350223546944
SelectKBest_Ridge,6,"['open', 'low', 'volume', 'turnover', 'PP', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBB_5_2.0']",0.5792349726775956
LogisticRegression_RandomForest,6,"['PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20']",0.4992548435171386
LogisticRegression_LogisticRegression,6,"['PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20']",0.5712866368604074
LogisticRegression_Ridge,6,"['PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20']",0.5765027322404371
Ridge_RandomForest,6,"['open', 'close', 'high', 'low']",0.5382513661202186
Ridge_LogisticRegression,6,"['open', 'close', 'high', 'low']",0.5290611028315947
Ridge_Ridge,6,"['open', 'close', 'high', 'low']",0.5340288127173373
LassoCV_RandomForest,6,['time'],0.4860904123199205
LassoCV_LogisticRegression,6,['time'],0.5109289617486339
LassoCV_Ridge,6,['time'],0.5119225037257824
ElasticNetCV_RandomForest,6,['time'],0.4860904123199205
ElasticNetCV_LogisticRegression,6,['time'],0.5109289617486339
ElasticNetCV_Ridge,6,['time'],0.5119225037257824
RFA_RandomForest,9,"['ATR', 'turnover', 'S2', 'MACD_12_26_9', 'MACDh_12_26_9', 'low', 'MACDs_12_26_9', 'BBB_5_2.0', 'volume', 'BBP_5_2.0', 'RSI', 'R1', 'SMA_5', 'SMA_10', 'EMA_10', 'avg_vol_last_100', 'R3', 'EMA_20', 'R2', 'ROC', 'time', 'STOCHk_14_3_3', 'EMA_5', 'BBM_5_2.0', 'BBL_5_2.0', 'high', 'S1', 'S3', 'open', 'PP', 'SMA_20', 'BBU_5_2.0', 'STOCHd_14_3_3', 'close', 'CCI']",0.6029082774049217
RFA_LogisticRegression,9,"['ATR', 'turnover', 'S2', 'MACD_12_26_9', 'MACDh_12_26_9', 'low', 'MACDs_12_26_9', 'BBB_5_2.0', 'volume', 'BBP_5_2.0', 'RSI', 'R1', 'SMA_5', 'SMA_10', 'EMA_10', 'avg_vol_last_100', 'R3', 'EMA_20', 'R2', 'ROC', 'time', 'STOCHk_14_3_3', 'EMA_5', 'BBM_5_2.0', 'BBL_5_2.0', 'high', 'S1', 'S3', 'open', 'PP', 'SMA_20', 'BBU_5_2.0', 'STOCHd_14_3_3', 'close', 'CCI']",0.5186428038777032
RFA_Ridge,9,"['ATR', 'turnover', 'S2', 'MACD_12_26_9', 'MACDh_12_26_9', 'low', 'MACDs_12_26_9', 'BBB_5_2.0', 'volume', 'BBP_5_2.0', 'RSI', 'R1', 'SMA_5', 'SMA_10', 'EMA_10', 'avg_vol_last_100', 'R3', 'EMA_20', 'R2', 'ROC', 'time', 'STOCHk_14_3_3', 'EMA_5', 'BBM_5_2.0', 'BBL_5_2.0', 'high', 'S1', 'S3', 'open', 'PP', 'SMA_20', 'BBU_5_2.0', 'STOCHd_14_3_3', 'close', 'CCI']",0.5022371364653244
RFE_RandomForest,9,"['volume', 'turnover', 'avg_vol_last_100', 'R3', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHd_14_3_3', 'ATR', 'CCI']",0.6260253542132737
RFE_LogisticRegression,9,"['volume', 'turnover', 'avg_vol_last_100', 'R3', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHd_14_3_3', 'ATR', 'CCI']",0.5324384787472036
RFE_Ridge,9,"['volume', 'turnover', 'avg_vol_last_100', 'R3', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHd_14_3_3', 'ATR', 'CCI']",0.5294556301267711
SelectKBest_RandomForest,9,"['low', 'volume', 'turnover', 'PP', 'R1', 'S1', 'R2', 'R3', 'BBL_5_2.0', 'BBB_5_2.0']",0.522744220730798
SelectKBest_LogisticRegression,9,"['low', 'volume', 'turnover', 'PP', 'R1', 'S1', 'R2', 'R3', 'BBL_5_2.0', 'BBB_5_2.0']",0.5287099179716629
SelectKBest_Ridge,9,"['low', 'volume', 'turnover', 'PP', 'R1', 'S1', 'R2', 'R3', 'BBL_5_2.0', 'BBB_5_2.0']",0.5540641312453393
LogisticRegression_RandomForest,9,"['PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20']",0.48695003728560776
LogisticRegression_LogisticRegression,9,"['PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20']",0.5630126771066368
LogisticRegression_Ridge,9,"['PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20']",0.5563012677106637
Ridge_RandomForest,9,"['open', 'close', 'high', 'low']",0.5484712900820283
Ridge_LogisticRegression,9,"['open', 'close', 'high', 'low']",0.5361670395227442
Ridge_Ridge,9,"['open', 'close', 'high', 'low']",0.5380313199105146
LassoCV_RandomForest,9,"['time', 'BBL_5_2.0']",0.46942580164056674
LassoCV_LogisticRegression,9,"['time', 'BBL_5_2.0']",0.5186428038777032
LassoCV_Ridge,9,"['time', 'BBL_5_2.0']",0.5190156599552572
ElasticNetCV_RandomForest,9,"['time', 'BBL_5_2.0']",0.46942580164056674
