model,duration,best_features,fold,accuracy,f1_score,precision,recall,auc_roc
XGBoost with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",1,0.6471551980935359,0.6832464233186255,0.6324257425742574,0.7429485315498692,0.6962416733073035
XGBoost with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",2,0.6376228775692583,0.6215585627624824,0.6125076640098099,0.630880959898958,0.6918304149546142
XGBoost with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",3,0.6344950848972297,0.6803022407503907,0.6107602339181286,0.76771537783005,0.6728037944131948
XGBoost with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",4,0.6365802800119154,0.6752728240617515,0.6159261956785628,0.7472754050073638,0.6846771012259935
XGBoost with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",5,0.6455168305034257,0.6846011131725418,0.634799705087245,0.7428817946505608,0.688738538588326
LightGBM with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",1,0.6669645516830504,0.7137003841229195,0.63761153054221,0.8104100029078221,0.7211721408451329
LightGBM with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",2,0.6496872207327972,0.6401468788249693,0.6209557732264767,0.6605620461004105,0.7042085134183937
LightGBM with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",3,0.6581769436997319,0.6917394224311618,0.6367457962413452,0.7571302558071156,0.7074277615654848
LightGBM with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",4,0.6534107834375931,0.6932102834541859,0.6274463007159905,0.7743740795287187,0.7030946915625259
LightGBM with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",5,0.6601131963062258,0.700682056663169,0.6440800578731614,0.7681909692263446,0.7042180358344065
XGBoost with RFECV Feature Selection,6,BBP_5_2.0,1,0.6064400715563506,0.6256381168462848,0.5978319783197832,0.6561570493753718,0.6370137321130329
XGBoost with RFECV Feature Selection,6,BBP_5_2.0,2,0.6046511627906976,0.6454545454545455,0.5954612728169709,0.7046117921774664,0.6273473132474787
XGBoost with RFECV Feature Selection,6,BBP_5_2.0,3,0.6413237924865832,0.6838370565045994,0.6364970645792564,0.7387847813742192,0.6742889194741475
XGBoost with RFECV Feature Selection,6,BBP_5_2.0,4,0.6180679785330948,0.6765968189851047,0.616658996778647,0.7494407158836689,0.6538933103048277
XGBoost with RFECV Feature Selection,6,BBP_5_2.0,5,0.6204531902206321,0.6768215283066769,0.6128735632183908,0.7556689342403629,0.6569312525848914
LightGBM with RFECV Feature Selection,6,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",1,0.6234347048300537,0.6788710907704044,0.5928063943161634,0.7941701368233195,0.6690805753129185
LightGBM with RFECV Feature Selection,6,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",2,0.627906976744186,0.6657739689341189,0.6150420583869372,0.7256275539988325,0.6683820502996585
LightGBM with RFECV Feature Selection,6,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",3,0.6520572450805009,0.6882180069462998,0.649848637739657,0.7314026121521863,0.700305460466771
LightGBM with RFECV Feature Selection,6,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",4,0.646690518783542,0.6786004882017901,0.6587677725118484,0.6996644295302014,0.6945583726903637
LightGBM with RFECV Feature Selection,6,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",5,0.6356589147286822,0.6912582112177869,0.6235186873290793,0.7755102040816326,0.6953307947917112
XGBoost with RFECV Feature Selection,9,BBP_5_2.0,1,0.6136974037600716,0.653552790044159,0.61995430312262,0.6910016977928692,0.6330645161290323
XGBoost with RFECV Feature Selection,9,BBP_5_2.0,2,0.6324977618621307,0.6879513492968452,0.64002828854314,0.743631881676253,0.6599787991975367
XGBoost with RFECV Feature Selection,9,BBP_5_2.0,3,0.6293643688451208,0.6825153374233129,0.615916955017301,0.765262252794497,0.6641662110530655
XGBoost with RFECV Feature Selection,9,BBP_5_2.0,4,0.6307072515666965,0.6847535345815821,0.616655196145905,0.7697594501718213,0.6634466229887273
XGBoost with RFECV Feature Selection,9,BBP_5_2.0,5,0.621307072515667,0.6741140215716488,0.616631430584919,0.7434154630416313,0.6517785303141496
LightGBM with RFECV Feature Selection,9,"volume, turnover, avg_vol_last_100, MACDs_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",1,0.6190689346463742,0.6963967178023548,0.6006153846153847,0.8285229202037352,0.6531365758604722
LightGBM with RFECV Feature Selection,9,"volume, turnover, avg_vol_last_100, MACDs_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",2,0.6418979409131602,0.6918335901386748,0.6511965192168238,0.7378800328677074,0.6795657067324667
