model,duration,best_features,fold,accuracy,f1_score,precision,recall,auc_roc
XGBoost with SHAP Feature Selection,3,"BBP_5_2.0, BBB_5_2.0, turnover, ATR, volume, STOCHd_14_3_3, RSI, ROC, CCI, avg_vol_last_100",1,0.6419422103068215,0.6713152857533498,0.6335483870967742,0.7138703111369584,0.6895443154298804
XGBoost with SHAP Feature Selection,3,"BBP_5_2.0, BBB_5_2.0, turnover, ATR, STOCHk_14_3_3, STOCHd_14_3_3, volume, CCI, ROC, RSI",2,0.6473041406017277,0.654104586619924,0.6085892905680892,0.7069782128197032,0.6992593660180948
XGBoost with SHAP Feature Selection,3,"BBP_5_2.0, BBB_5_2.0, turnover, ATR, volume, STOCHk_14_3_3, CCI, R3, S3, STOCHd_14_3_3",3,0.6224307417336908,0.6195407474110761,0.6327406499080319,0.6068803293149074,0.6784879236438423
XGBoost with SHAP Feature Selection,3,"BBP_5_2.0, BBB_5_2.0, ATR, turnover, S3, STOCHk_14_3_3, CCI, R3, time, STOCHd_14_3_3",4,0.6108132260947274,0.560470984020185,0.6533333333333333,0.49072164948453606,0.6740941275762657
XGBoost with SHAP Feature Selection,3,"BBP_5_2.0, BBB_5_2.0, ATR, turnover, CCI, R3, STOCHk_14_3_3, volume, time, S3",5,0.6070896633899315,0.592649783817171,0.6398799599866623,0.5519125683060109,0.6652632076501844
LightGBM with SHAP Feature Selection,3,"BBP_5_2.0, turnover, BBB_5_2.0, ATR, STOCHd_14_3_3, volume, avg_vol_last_100, RSI, CCI, ROC",1,0.6607089663389931,0.7009713835652402,0.6389088298636038,0.7763884850247165,0.7123189103880277
LightGBM with SHAP Feature Selection,3,"BBP_5_2.0, BBB_5_2.0, turnover, ATR, volume, avg_vol_last_100, CCI, STOCHk_14_3_3, RSI, STOCHd_14_3_3",2,0.6510277033065237,0.6617583369423994,0.6095744680851064,0.7237132933375434,0.7078330335859769
LightGBM with SHAP Feature Selection,3,"BBP_5_2.0, BBB_5_2.0, turnover, ATR, volume, STOCHk_14_3_3, CCI, time, S3, RSI",3,0.6389633601429848,0.627076923076923,0.6576314940303324,0.5992355189650103,0.6979015688732731
LightGBM with SHAP Feature Selection,3,"BBP_5_2.0, BBB_5_2.0, ATR, turnover, volume, CCI, time, STOCHk_14_3_3, RSI, R3",4,0.6568364611260054,0.6836034056577863,0.640339593516851,0.7331369661266568,0.7053709596330495
LightGBM with SHAP Feature Selection,3,"BBP_5_2.0, BBB_5_2.0, ATR, turnover, CCI, time, volume, STOCHk_14_3_3, R3, RSI",5,0.6557938635686625,0.6941098610191925,0.6429622363903874,0.7540983606557377,0.7092543088883931
