model,duration,best_features,accuracy
Logistic Regression with RFECV Feature Selection,3,['time'],0.4971998808459935
Logistic Regression with SelectKBest Feature Selection,3,"['close', 'turnover', 'MACD_12_26_9', 'S1', 'R2', 'S2', 'BBP_5_2.0', 'SMA_10', 'ATR', 'CCI']",0.5223711647304141
Logistic Regression with RFE Feature Selection,3,"['time', 'low', 'R1', 'R2', 'R3', 'BBL_5_2.0']",0.4971998808459935
Logistic Regression with RFECV Feature Selection,6,['time'],0.504412641621944
Logistic Regression with SelectKBest Feature Selection,6,"['volume', 'turnover', 'MACDs_12_26_9', 'PP', 'S3', 'BBP_5_2.0', 'RSI', 'SMA_10', 'ROC', 'CCI']",0.5462731067382232
Logistic Regression with RFE Feature Selection,6,"['time', 'low', 'volume', 'turnover', 'BBL_5_2.0', 'BBB_5_2.0']",0.504412641621944
Logistic Regression with RFECV Feature Selection,9,['time'],0.5171888988361684
Logistic Regression with SelectKBest Feature Selection,9,"['high', 'volume', 'turnover', 'MACDh_12_26_9', 'S3', 'BBL_5_2.0', 'BBP_5_2.0', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'CCI']",0.5532676812891675
Logistic Regression with RFE Feature Selection,9,"['time', 'low', 'volume', 'turnover', 'BBL_5_2.0', 'BBB_5_2.0']",0.5171888988361684
Logistic Regression with RFECV Feature Selection,12,['time'],0.5323775388291517
Logistic Regression with SelectKBest Feature Selection,12,"['turnover', 'PP', 'S2', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'EMA_5', 'STOCHk_14_3_3', 'ATR', 'CCI']",0.5594982078853047
Logistic Regression with RFE Feature Selection,12,"['time', 'volume', 'turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'CCI']",0.5323775388291517
Logistic Regression with RFECV Feature Selection,15,['time'],0.5343796711509715
Logistic Regression with SelectKBest Feature Selection,15,"['turnover', 'avg_vol_last_100', 'PP', 'R1', 'R2', 'BBB_5_2.0', 'BBP_5_2.0', 'SMA_20', 'EMA_5', 'CCI']",0.5666666666666667
Logistic Regression with RFE Feature Selection,15,"['time', 'volume', 'turnover', 'BBB_5_2.0', 'ATR', 'CCI']",0.5343796711509715
Logistic Regression with RFECV Feature Selection,18,['time'],0.5350089766606821
Logistic Regression with SelectKBest Feature Selection,18,"['close', 'high', 'low', 'volume', 'R1', 'BBP_5_2.0', 'SMA_10', 'EMA_5', 'ROC', 'CCI']",0.5549371633752245
Logistic Regression with RFE Feature Selection,18,"['time', 'volume', 'turnover', 'avg_vol_last_100', 'MACDs_12_26_9', 'BBB_5_2.0']",0.5350089766606821
Logistic Regression with RFECV Feature Selection,21,['time'],0.5289308176100629
Logistic Regression with SelectKBest Feature Selection,21,"['low', 'volume', 'turnover', 'R1', 'S1', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR', 'CCI']",0.5509433962264151
Logistic Regression with RFE Feature Selection,21,"['time', 'volume', 'turnover', 'MACD_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0']",0.5289308176100629
Logistic Regression with RFECV Feature Selection,24,['time'],0.5318944844124701
