Feature,Rank
volume_tlb,1
pct_change,1
op_cl_diff,1
SLOPE_1,1
PCTRET_1,1
williams_r,1
price_diff,1
hollow_candle,1
equivolume_width,1
BBP_5_2.0,1
diff_1,1
above,1
BOP,1
close_change,1
DPO_20,1
kagi_dir,1
kagi_volume,1
kagi_rsi,1
below,1
kagi_slowk,1
kagi_slowd,1
LOGRET_1,1
tlb_CMF,2
price_to_ema_5,2
BBP_5_2.0_5,2
CFO_9,2
RVI_14,3
PVR,5
INC_1,5
DEC_1,5
price_to_ma_5,7
price_to_prev_low,7
price_to_prev_high,9
tlb_slowk,10
lag_return_3,11
kagi_macdhist,12
price_to_ema5,13
volume_change,14
below_value,15
EBSW_40_10,16
tlb_WilliamsR,17
HA_close_change,18
turnover,19
UO_10_14_50,19
vrsi,21
ER_10,22
lag_return_1,23
J_9_3,24
PVOL,24
HA_body,26
CMF_20,27
STOCHRSIk_14_14_3_3,27
volume_change_roll5,29
WILLR_14,30
volume,31
price_to_volume,32
volume_to_ma_volume,33
volume_ma_5,33
PDIST,35
volume_ema5,36
return_volume_corr_5,37
volume_std_5,37
tlb_UO,39
diff_2,40
VHF_28,41
price_volume_corr_5,41
tlb_slowd,43
HA_close_pct_change,44
cross_value,46
volume_std_10,46
high_pct,46
above_value,46
MASSI_9_25,49
lag_return_5,50
CHOP_14_1_100,51
return_volume_corr_100,52
lag_return_4,53
lag_return_2,54
UO_7_14_28,55
price_volume_corr_10,56
diff_4,57
STOCHRSId_14_14_3_3,58
INERTIA_20_14,59
kagi_adx,60
PVO_12_26_9,61
price_volume_corr_50,62
MASSI_10_50,62
PVOh_10_50_9,64
ADX_14,65
FISHERTs_9_1,66
cmf,67
return_volume_corr_50,68
PVOs_10_50_9,69
PVO_10_50_9,70
PVOh_12_26_9,70
return_volume_corr_20,72
FISHERT_9_1,72
diff_3,74
volume_std_20,75
HA_high_low,76
HA_ha_close_bbp50_std,77
avg_vol_last_100,78
SKEW_30,78
tlb_ADX,80
high_pct_roll5,80
KVO_10_50_13,82
BBB_5_2.0_5,83
SMIo_5_20_5,83
ADOSC_3_10,85
BBB_5_2.0,86
TRUERANGE_1,87
PVOs_12_26_9,88
ADOSC_10_50,89
price_volume_corr_100,91
KURT_30,91
CCI_14_0.015,91
D_9_3,91
STOCHd_14_3_3,94
return_volume_corr_10,95
ema_to_ma_5,96
CTI_12,96
PPOh_12_26_9,98
HA_cci,99
roc_5,100
VTXP_14,101
TSI_10_50_13,102
TRIXs_30_9,102
kagi_atr,104
ma5_to_ma10,105
volume_ma_20,106
volume_roll5,107
THERMO_20_2_0.5,108
lag_rsi_1,108
STOCHk_14_3_3,110
QQEs_14_5_4.236,111
HA_close_open,112
tlb_MFI,113
KVOs_10_50_13,114
AR_26,115
MFI_14,116
HA_mfi,117
tlb_CCI,118
QQEl_14_5_4.236,119
price_to_ma_10,120
SMIs_10_50_5,121
volatility_5,122
diff_7,122
pnf_ATR,124
kagi_ad,125
KVOs_34_55_13,126
TRIX_30_9,127
price_to_lower_band,127
K_9_3,129
DMP_14,130
std_5,131
price_volume_corr_20,131
diff_13,133
rsi_renko,135
roc_renko,135
price_to_ema_10,135
diff_24,135
ema_to_ma_20,138
RVGI_14_4,139
MACDh_10_50_9,139
volume_ma_10,141
force_index,142
EOM_14_100000000,143
ema_to_ma_10,143
diff_5,145
MACD_10_50_9,147
TSIs_10_50_13,147
rsi_to_ma_5,147
MAD_30,149
diff_6,150
RSX_14,151
QQE_14_5_4.236,152
RSI_14_roll5,153
close_change_roll5,154
std_10,155
low_Z_30_1,156
RVGIs_14_4,156
PPOs_10_50_9,158
HA_macdh,159
ZS_30,161
OBV_min_2,161
pnf_bearish_percentage,161
ABER_ATR_5_15,161
diff_8,164
ma10_to_ma20,166
diff_11,166
CDL_SPINNINGTOP,166
CG_10,168
BULLP_13,169
d_renko,169
BEARP_13,171
cci,172
RSI_14,173
BR_26,174
NATR_14,175
ATR_14_roll5,177
kagi_macdsignal,177
diff_12,177
UI_14,180
diff_22,180
rsi,180
PPOh_10_50_9,182
high_Z_30_1,183
hist_volatility_10,183
diff_30,185
price_to_upper_band,185
STDEV_30,187
PGO_14,188
CMO_14,190
diff_10,190
open_Z_30_1,190
VTXM_14,192
KVO_34_55_13,193
kagi_macd,194
diff_16,195
diff_9,195
diff_28,197
OBV_max_2,198
pnf_avg_column_height,198
MACDh_12_26_9,200
roc_10,200
EFI_13,202
COPC_10_50_10,204
APO_12_26,204
SMI_10_50_5,204
pnf_std_column_height,206
TSI_13_25_13,207
OBVe_4,207
atr,210
diff_25,210
ma5_to_ma20,210
PPOs_12_26_9,210
ema5_to_ema10,213
tlb_volatility,214
diff_26,214
KSTs_9,216
ROC_10,216
day,218
ATRr_14,219
tlb_momentum,220
pnf_RSI,221
SMIs_5_20_5,222
SMI_5_20_5,222
SQZPRO_20_2.0_20_2_1.5_1,224
diff_31,225
hist_volatility_20,226
pnf_avg_bullish_run_length,227
VAR_30,228
diff_21,230
tlb_ATR,230
STCmacd_10_10_50_0.5,230
TOS_STDEVALL_L_1,233
