feature,accuracy
open,75.87282061576843
high,75.62344074249268
low,75.74812769889832
close,75.3740668296814
turnover,76.24688148498535
color,54.48877811431885
volume,75.81047415733337
avg_vol_last_100,73.00498485565186
obv,76.30922794342041
RSI_5,75.62344074249268
RSI_10,76.05984807014465
RSI_14,75.12468695640564
MACD_12_26_9,75.81047415733337
MACDh_12_26_9,75.56109428405762
MACDs_12_26_9,75.81047415733337
MACD_6_13_5_6_13_5,75.74812769889832
MACDh_6_13_5_6_13_5,75.49875378608704
MACDs_6_13_5_6_13_5,75.56109428405762
SMA_20,75.43640732765198
SMA_5,75.49875378608704
SMA_10,75.62344074249268
EMA_2,76.05984807014465
EMA_5,75.68578720092773
EMA_10,75.24937391281128
BBP_10_2.0_10,75.81047415733337
BBL_15_2.0_15,75.56109428405762
BBM_15_2.0_15,75.56109428405762
BBU_15_2.0_15,75.81047415733337
BBB_15_2.0_15,75.74812769889832
BBP_15_2.0_15,75.62344074249268
BBL_20_2.0_20,76.24688148498535
BBM_20_2.0_20,75.74812769889832
BBU_20_2.0_20,75.81047415733337
BBB_20_2.0_20,75.56109428405762
BBP_20_2.0_20,76.05984807014465
bollinger_bandwidth,75.56109428405762
BBL_5_2.0_5,76.12219452857971
BBM_5_2.0_5,75.68578720092773
BBU_5_2.0_5,75.24937391281128
BBB_5_2.0_5,75.24937391281128
BBP_5_2.0_5,74.8129665851593
BBL_10_2.0_10,75.74812769889832
BBM_10_2.0_10,76.18454098701477
BBU_10_2.0_10,75.68578720092773
BBB_10_2.0_10,75.62344074249268
BBP_10_2.0_10,75.43640732765198
STOCHk_14_3_3,76.05984807014465
STOCHd_14_3_3,75.1870334148407
STOCHk_14_3_3_7_3_3,75.93516111373901
STOCHd_14_3_3_7_3_3,75.93516111373901
STOCHk_14_3_3_10_3_3,75.3740668296814
STOCHd_14_3_3_10_3_3,75.81047415733337
ATR_14,75.68578720092773
ATR_10,75.93516111373901
ATR_5,75.87282061576843
ROC_14,75.74812769889832
ROC_10,75.3740668296814
ROC_5,75.74812769889832
CCI_14,75.74812769889832
CCI_10,75.99750757217407
CCI_5,75.99750757217407
cmf,75.74812769889832
mfi,75.3740668296814
RVI_15,75.74812769889832
RVI_10,76.37156844139099
RVI_5,75.43640732765198
PP,75.62344074249268
R1,75.81047415733337
S1,75.81047415733337
R2,75.31172037124634
S2,75.68578720092773
R3,75.56109428405762
S3,75.93516111373901
PSARl_0.01_0.1,75.81047415733337
PSARs_0.01_0.1,75.3740668296814
PSARaf_0.01_0.1,75.43640732765198
PSARr_0.01_0.1,76.30922794342041
TRIX_18_9,75.68578720092773
TRIXs_18_9,75.93516111373901
TRIX_12_6,75.49875378608704
TRIXs_12_6,75.99750757217407
TRIX_10_5,75.68578720092773
TRIXs_10_5,76.12219452857971
ISA_5,75.24937391281128
ISB_15,76.30922794342041
ITS_5,75.99750757217407
IKS_15,75.43640732765198
ICS_15,76.18454098701477
