features,f1_score,feature_importance,iteration,process,reoccurence
volume,0.9931129476584023,0.00836148213616761,88,RFE,15
ADOSC_3_10,0.9931129476584023,0.008257688912118028,88,RFE,1
BBP_5_2.0,0.9931129476584023,0.01246290925580248,88,RFE,16
BOP,0.9931129476584023,0.025684188557051398,88,RFE,20
low_Z_30_1,0.9931129476584023,0.006398266003318079,88,RFE,10
CHOP_14_1_100,0.9931129476584023,0.008015579152120693,88,RFE,3
CMF_20,0.9931129476584023,0.006541259511448433,88,RFE,2
DPO_20,0.9931129476584023,0.015225448342126947,88,RFE,20
EBSW_40_10,0.9931129476584023,0.006277794549219089,88,RFE,14
EOM_14_100000000,0.9931129476584023,0.007511033311127887,88,RFE,1
ER_10,0.9931129476584023,0.01206867573389713,88,RFE,12
FISHERTs_9_1,0.9931129476584023,0.007266447081534357,88,RFE,10
ISA_9,0.9931129476584023,0.007655584112370022,88,RFE,1
D_9_3,0.9931129476584023,0.007407495337590681,88,RFE,11
KURT_30,0.9931129476584023,0.0072507010497592185,88,RFE,5
LOGRET_1,0.9931129476584023,0.025309053162662503,88,RFE,20
MFI_14,0.9931129476584023,0.005646859978200944,88,RFE,3
PDIST,0.9931129476584023,0.007812068631440299,88,RFE,9
PCTRET_1,0.9931129476584023,0.029883181033158745,88,RFE,20
PVOs_12_26_9,0.9931129476584023,0.006945287315893495,88,RFE,2
RVI_14,0.9931129476584023,0.008342359795913905,88,RFE,16
SKEW_30,0.9931129476584023,0.009083311711174278,88,RFE,12
SLOPE_1,0.9931129476584023,0.02071052655214335,88,RFE,20
SMIo_5_20_5,0.9931129476584023,0.006181165123149118,88,RFE,4
STOCHd_14_3_3,0.9931129476584023,0.0071172999875209145,88,RFE,7
STOCHRSIk_14_14_3_3,0.9931129476584023,0.006903050411087224,88,RFE,1
TRUERANGE_1,0.9931129476584023,0.006091722487113077,88,RFE,1
UO_7_14_28,0.9931129476584023,0.007350733735270214,88,RFE,2
VHF_28,0.9931129476584023,0.00744865975924047,88,RFE,6
WILLR_14,0.9931129476584023,0.010083087779486244,88,RFE,12
PPOh_10_50_9,0.9931129476584023,0.006938612112642894,88,RFE,2
TSIs_10_50_13,0.9931129476584023,0.009424765088616992,88,RFE,1
UO_10_14_50,0.9931129476584023,0.008333070283798615,88,RFE,5
HA_high_low,0.9931129476584023,0.008592594454391936,88,RFE,9
HA_body,0.9931129476584023,0.007938458132042737,88,RFE,9
HA_close_change,0.9931129476584023,0.007128686626898159,88,RFE,2
HA_mfi,0.9931129476584023,0.006770907202883817,88,RFE,1
tlb_slowk,0.9931129476584023,0.00875592247487035,88,RFE,9
tlb_slowd,0.9931129476584023,0.00739898807648291,88,RFE,10
tlb_MFI,0.9931129476584023,0.008153841566297067,88,RFE,4
tlb_WilliamsR,0.9931129476584023,0.010070345920209023,88,RFE,13
tlb_UO,0.9931129476584023,0.008887980975209432,88,RFE,3
tlb_ADX,0.9931129476584023,0.008509186646152514,88,RFE,6
price_diff,0.9931129476584023,0.027431243807269766,88,RFE,20
op_cl_diff,0.9931129476584023,0.023528824368673592,88,RFE,20
pct_change,0.9931129476584023,0.025500485257920796,88,RFE,20
diff_1,0.9931129476584023,0.02882101393862981,88,RFE,20
diff_2,0.9931129476584023,0.00830938394287989,88,RFE,7
diff_15,0.9931129476584023,0.0067903274953342,88,RFE,1
williams_r,0.9931129476584023,0.009743510013996967,88,RFE,12
cmf,0.9931129476584023,0.00791633170079103,88,RFE,3
lag_return_1,0.9931129476584023,0.008790445778040426,88,RFE,13
lag_return_2,0.9931129476584023,0.007466929589362615,88,RFE,10
lag_return_3,0.9931129476584023,0.008041081089203185,88,RFE,11
lag_return_4,0.9931129476584023,0.008428218489117992,88,RFE,9
lag_return_5,0.9931129476584023,0.008737480887420905,88,RFE,7
lag_rsi_1,0.9931129476584023,0.0078495620343368,88,RFE,1
roc_10,0.9931129476584023,0.007157496307900769,88,RFE,1
std_5,0.9931129476584023,0.007099456122250707,88,RFE,2
price_to_ema_5,0.9931129476584023,0.007177980871373481,88,RFE,2
ema_to_ma_5,0.9931129476584023,0.007235036909417379,88,RFE,6
price_to_prev_high,0.9931129476584023,0.009923080074871088,88,RFE,15
price_to_prev_low,0.9931129476584023,0.011187154691127599,88,RFE,15
return_volume_corr_5,0.9931129476584023,0.008098267058637915,88,RFE,10
return_volume_corr_10,0.9931129476584023,0.007537657720941265,88,RFE,5
return_volume_corr_50,0.9931129476584023,0.006888135746342302,88,RFE,10
return_volume_corr_100,0.9931129476584023,0.007033407467516133,88,RFE,2
price_volume_corr_5,0.9931129476584023,0.008787584583465423,88,RFE,9
price_volume_corr_10,0.9931129476584023,0.007932118033452515,88,RFE,5
price_volume_corr_20,0.9931129476584023,0.006346527373475481,88,RFE,3
price_volume_corr_50,0.9931129476584023,0.007550653518001641,88,RFE,6
price_to_volume,0.9931129476584023,0.00870602544670668,88,RFE,15
vrsi,0.9931129476584023,0.006650469358825431,88,RFE,10
volume_change,0.9931129476584023,0.009149241446099916,88,RFE,15
volume_std_5,0.9931129476584023,0.006664261081329967,88,RFE,9
volume_to_ma_volume,0.9931129476584023,0.0076569834226461264,88,RFE,6
close_change,0.9931129476584023,0.017420596548400977,88,RFE,20
high_pct,0.9931129476584023,0.009598279271876448,88,RFE,7
high_pct_roll5,0.9931129476584023,0.0067646754986876115,88,RFE,6
volume_ema5,0.9931129476584023,0.007508982226627049,88,RFE,13
BBB_5_2.0_5,0.9931129476584023,0.007478127009858507,88,RFE,1
BBP_5_2.0_5,0.9931129476584023,0.00942052830538369,88,RFE,19
equivolume_width,0.9931129476584023,0.007540987189353323,88,RFE,14
kagi_dir,0.9931129476584023,0.12288433956622928,88,RFE,20
kagi_volume,0.9931129476584023,0.01682048751293666,88,RFE,20
kagi_rsi,0.9931129476584023,0.014521488897071739,88,RFE,20
kagi_slowk,0.9931129476584023,0.019104282863808573,88,RFE,20
kagi_slowd,0.9931129476584023,0.006604569412803091,88,RFE,17
BBP_5_2.0,0.9924294562973159,0.009594713106999758,66,RFE,16
BOP,0.9924294562973159,0.030445548663358895,66,RFE,20
CHOP_14_1_100,0.9924294562973159,0.00897874830480026,66,RFE,3
DPO_20,0.9924294562973159,0.016394825682731755,66,RFE,20
ER_10,0.9924294562973159,0.01522631699268503,66,RFE,12
D_9_3,0.9924294562973159,0.011322749721768196,66,RFE,11
J_9_3,0.9924294562973159,0.008150950656633214,66,RFE,6
KURT_30,0.9924294562973159,0.009308762378588648,66,RFE,5
LOGRET_1,0.9924294562973159,0.026186159457643587,66,RFE,20
MASSI_9_25,0.9924294562973159,0.009951647772816966,66,RFE,7
PDIST,0.9924294562973159,0.008837325165094796,66,RFE,9
PCTRET_1,0.9924294562973159,0.03434525192475358,66,RFE,20
