feature,score,p_value,iteration,process,reoccurrence
open,0.2803773668416906,0.5964685727480457,1,UFS,1
close,0.22927378762412165,0.63207582142477,1,UFS,1
high,0.24679791224734507,0.6193523997636887,1,UFS,1
low,0.2614398040215543,0.6091467226641716,1,UFS,1
volume,2.0679942381476306,0.1504580717145391,1,UFS,1
line_break,0.22927378762412165,0.63207582142477,1,UFS,1
time_unix,0.03579601678489927,0.8499421240613623,1,UFS,1
ABER_ZG_5_15,0.2613934366493971,0.6091784673081522,1,UFS,1
ABER_SG_5_15,0.2527209176618521,0.6151794189313071,1,UFS,1
ABER_XG_5_15,0.2695048343590579,0.6036783862408417,1,UFS,1
ABER_ATR_5_15,0.03497668336673117,0.8516492353725468,1,UFS,1
ACCBL_20,0.22782586903151347,0.6331535676297051,1,UFS,1
ACCBM_20,0.21278478686197608,0.644605869963254,1,UFS,1
ACCBU_20,0.19706844397429435,0.6571095137766816,1,UFS,1
AD,0.24656113980697,0.6195205082343265,1,UFS,1
ADOSC_3_10,0.012043215594211142,0.912617052184806,1,UFS,1
ADX_14,0.0038442130764999977,0.9505630015311471,1,UFS,1
DMP_14,0.017244413013650994,0.8955270442536342,1,UFS,1
DMN_14,0.44845338387636857,0.5030895243782117,1,UFS,1
ALMA_10_6.0_0.85,0.3020194619674064,0.5826343923846753,1,UFS,1
AMATe_LR_8_21_2,0.694925860069538,0.4045186619266906,1,UFS,1
AMATe_SR_8_21_2,0.603077582683174,0.43742898938710795,1,UFS,1
AO_5_34,0.26864357227677527,0.6042573629006662,1,UFS,1
OBV,0.479541390999412,0.48865007858260057,1,UFS,1
OBV_min_2,0.5410618679055281,0.4620143984874675,1,UFS,1
OBV_max_2,0.5054479814269417,0.4771366375376499,1,UFS,1
OBVe_4,0.5232641897782184,0.4694735826641563,1,UFS,1
OBVe_12,0.49419757780055135,0.4820811237496322,1,UFS,1
AOBV_LR_2,0.026347364679442386,0.8710589494721648,1,UFS,1
AOBV_SR_2,0.05961279401996394,0.8071152020190389,1,UFS,1
APO_12_26,0.18219194593530508,0.6695076497223372,1,UFS,1
AROOND_14,0.5668307969994965,0.4515430254515821,1,UFS,1
AROONU_14,0.07005728510749869,0.7912601618535655,1,UFS,1
AROONOSC_14,0.3724074270826251,0.541712141314082,1,UFS,1
ATRr_14,0.048706272277249996,0.8253355358934554,1,UFS,1
BBL_5_2.0,0.27592532153120547,0.5993988825988192,1,UFS,1
BBM_5_2.0,0.260213955584312,0.6099871759963801,1,UFS,1
BBU_5_2.0,0.2447838470284257,0.6207856093203972,1,UFS,1
BBB_5_2.0,0.09762035897928946,0.7547122887874465,1,UFS,1
BBP_5_2.0,1.4217352262133376,0.23315312019750267,1,UFS,1
BIAS_SMA_26,0.013185037455969115,0.9085858078452977,1,UFS,1
BOP,0.7706869470237093,0.38003080080597385,1,UFS,1
AR_26,0.009559728363106671,0.9221142939956458,1,UFS,1
BR_26,0.018324718630126753,0.89232365333581,1,UFS,1
CCI_14_0.015,1.0971595440273403,0.2949217323363152,1,UFS,1
CDL_2CROWS,0.8772286562743581,0.3489899256059793,1,UFS,1
CDL_3INSIDE,1.079943286329872,0.2987414280312838,1,UFS,1
CDL_3LINESTRIKE,0.051590372605176946,0.8203244216494688,1,UFS,1
CDL_3OUTSIDE,0.014152982687203832,0.9053050135532003,1,UFS,1
CDL_3WHITESOLDIERS,0.9279391720771284,0.33542791302908936,1,UFS,1
CDL_ADVANCEBLOCK,0.7037470195406806,0.4015523865464433,1,UFS,1
CDL_BELTHOLD,1.743385259944886,0.18674796931764567,1,UFS,1
CDL_CLOSINGMARUBOZU,6.123655074636918,0.013358904196747422,1,UFS,8
CDL_DARKCLOUDCOVER,2.6329128620480695,0.10470865295774788,1,UFS,1
CDL_DOJI_10_0.1,9.310771093067425,0.0022855200847150536,1,UFS,8
CDL_DOJISTAR,0.16231603885433507,0.6870437757602328,1,UFS,1
CDL_DRAGONFLYDOJI,0.0019357933265275007,0.9649073662954498,1,UFS,1
CDL_ENGULFING,6.153134552700921,0.013138204811504775,1,UFS,8
CDL_EVENINGDOJISTAR,0.025780322121540692,0.8724420035728598,1,UFS,1
CDL_EVENINGSTAR,0.056853777030948925,0.8115456769716117,1,UFS,1
