model,duration,best_features,accuracy
SVM_SVM,3,"{'SVM': ['R3'], 'XGBoost': ['time', 'turnover', 'S1', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ATR'], 'LightGBM': ['time', 'volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'CatBoost': ['volume', 'turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Random Forests': ['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Gradient Boosting Machines': ['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR'], 'ExtraTrees': ['volume', 'turnover', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI'], 'KNN': Index(['low', 'R2', 'R3', 'BBL_5_2.0'], dtype='object')}",0.5050512677219487
SVM_XGBoost,3,"{'SVM': ['R3'], 'XGBoost': ['time', 'turnover', 'S1', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ATR'], 'LightGBM': ['time', 'volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'CatBoost': ['volume', 'turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Random Forests': ['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Gradient Boosting Machines': ['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR'], 'ExtraTrees': ['volume', 'turnover', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI'], 'KNN': Index(['low', 'R2', 'R3', 'BBL_5_2.0'], dtype='object')}",0.4577152894832558
SVM_LGBM,3,"{'SVM': ['R3'], 'XGBoost': ['time', 'turnover', 'S1', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ATR'], 'LightGBM': ['time', 'volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'CatBoost': ['volume', 'turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Random Forests': ['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Gradient Boosting Machines': ['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR'], 'ExtraTrees': ['volume', 'turnover', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI'], 'KNN': Index(['low', 'R2', 'R3', 'BBL_5_2.0'], dtype='object')}",0.4616373602416365
SVM_CatBoost,3,"{'SVM': ['R3'], 'XGBoost': ['time', 'turnover', 'S1', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ATR'], 'LightGBM': ['time', 'volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'CatBoost': ['volume', 'turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Random Forests': ['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Gradient Boosting Machines': ['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR'], 'ExtraTrees': ['volume', 'turnover', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI'], 'KNN': Index(['low', 'R2', 'R3', 'BBL_5_2.0'], dtype='object')}",0.45878278903418757
SVM_RandomForest,3,"{'SVM': ['R3'], 'XGBoost': ['time', 'turnover', 'S1', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ATR'], 'LightGBM': ['time', 'volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'CatBoost': ['volume', 'turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Random Forests': ['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Gradient Boosting Machines': ['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR'], 'ExtraTrees': ['volume', 'turnover', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI'], 'KNN': Index(['low', 'R2', 'R3', 'BBL_5_2.0'], dtype='object')}",0.4564494451345407
SVM_GradientBoosting,3,"{'SVM': ['R3'], 'XGBoost': ['time', 'turnover', 'S1', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ATR'], 'LightGBM': ['time', 'volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'CatBoost': ['volume', 'turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Random Forests': ['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Gradient Boosting Machines': ['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR'], 'ExtraTrees': ['volume', 'turnover', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI'], 'KNN': Index(['low', 'R2', 'R3', 'BBL_5_2.0'], dtype='object')}",0.45220468902184374
SVM_ExtraTrees,3,"{'SVM': ['R3'], 'XGBoost': ['time', 'turnover', 'S1', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ATR'], 'LightGBM': ['time', 'volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'CatBoost': ['volume', 'turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Random Forests': ['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Gradient Boosting Machines': ['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR'], 'ExtraTrees': ['volume', 'turnover', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI'], 'KNN': Index(['low', 'R2', 'R3', 'BBL_5_2.0'], dtype='object')}",0.48752651012565507
SVM_KNN,3,"{'SVM': ['R3'], 'XGBoost': ['time', 'turnover', 'S1', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ATR'], 'LightGBM': ['time', 'volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'CatBoost': ['volume', 'turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Random Forests': ['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Gradient Boosting Machines': ['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR'], 'ExtraTrees': ['volume', 'turnover', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI'], 'KNN': Index(['low', 'R2', 'R3', 'BBL_5_2.0'], dtype='object')}",0.47739906221041795
XGBoost_SVM,3,"{'SVM': ['R3'], 'XGBoost': ['time', 'turnover', 'S1', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ATR'], 'LightGBM': ['time', 'volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'CatBoost': ['volume', 'turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Random Forests': ['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Gradient Boosting Machines': ['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR'], 'ExtraTrees': ['volume', 'turnover', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI'], 'KNN': Index(['low', 'R2', 'R3', 'BBL_5_2.0'], dtype='object')}",0.506466106331677
XGBoost_XGBoost,3,"{'SVM': ['R3'], 'XGBoost': ['time', 'turnover', 'S1', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ATR'], 'LightGBM': ['time', 'volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'CatBoost': ['volume', 'turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Random Forests': ['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI'], 'Gradient Boosting Machines': ['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'ATR'], 'ExtraTrees': ['volume', 'turnover', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ROC', 'CCI'], 'KNN': Index(['low', 'R2', 'R3', 'BBL_5_2.0'], dtype='object')}",0.48464691554678374
